;Unnamed: 0;Названия;Время суток;Время года;Местность;Авиа;Автомобили;БПЛА;Водолаз;Кинолог;Кони;Объятия;Шерп
0;0;63.jpg;1;3;1;0;0;0;0;1;0;0;0
1;1;77.jpg;1;4;1;1;0;0;0;0;0;0;0
2;2;88.jpg;1;3;1;0;0;0;0;0;1;0;0
3;3;89.jpg;3;3;3;0;1;0;0;1;0;0;0
4;4;76.jpg;1;4;1;1;0;0;0;0;0;0;0
5;5;62.jpg;2;1;1;0;0;0;0;0;0;0;0
6;6;74.jpg;1;3;1;0;0;0;0;0;0;1;0
7;7;60.jpg;2;4;2;0;1;0;0;0;0;0;0
8;8;48.jpg;1;4;1;0;0;0;0;0;0;0;0
9;9;49.jpg;3;3;2;0;0;0;0;0;0;0;0
10;10;61.jpg;1;3;1;0;0;0;0;0;0;0;0
11;11;75.jpg;1;0;0;0;0;0;0;0;0;1;0
12;12;59.jpg;2;1;2;0;0;0;0;0;0;0;0
13;13;71.jpg;1;3;0;0;0;0;0;0;0;1;0
14;14;65.JPG;3;0;0;0;0;1;0;0;0;0;0
15;15;64.jpg;1;4;1;0;0;0;0;0;0;0;0
16;16;70.jpg;1;0;0;0;1;0;0;0;0;0;0
17;17;58.jpg;1;1;0;0;0;0;0;0;1;0;0
18;18;8.jpg;1;3;0;1;0;0;0;0;0;0;0
19;19;66.JPG;1;3;0;1;0;0;0;0;0;0;0
20;20;72.jpg;1;3;0;1;0;0;0;0;0;0;0
21;21;99.jpg;1;3;0;1;0;0;0;0;0;0;0
22;22;98.jpg;1;3;0;1;0;0;0;0;0;0;0
23;23;73.jpg;1;3;0;1;0;0;0;0;0;0;0
24;24;67.jpg;1;3;0;1;0;0;0;0;0;0;0
25;25;9.JPG;1;3;0;1;0;0;0;0;0;0;0
26;26;14.jpg;1;3;0;1;0;0;0;0;0;0;0
27;27;28.jpg;1;3;0;1;0;0;0;0;0;0;0
28;28;101.jpg;1;3;0;1;0;0;0;0;0;0;0
29;29;100.jpg;1;3;0;1;0;0;0;0;0;0;0
30;30;29.jpg;1;3;0;1;0;0;0;0;0;0;0
31;31;15.jpg;1;3;0;1;0;0;0;0;0;0;0
32;32;17.jpg;1;3;0;1;0;0;0;0;0;0;0
33;33;102.jpg;1;3;0;1;0;0;0;0;0;0;0
34;34;103.jpg;1;3;0;1;0;0;0;0;0;0;0
35;35;16.jpg;1;3;0;1;0;0;0;0;0;0;0
36;36;12.jpg;1;3;0;1;0;0;0;0;0;0;0
37;37;13.jpg;1;3;0;1;0;0;0;0;0;0;0
38;38;39.JPG;1;3;0;1;0;0;0;0;0;0;0
39;39;11.jpg;1;3;0;1;0;0;0;0;0;0;0
40;40;104.jpg;1;3;0;1;0;0;0;0;0;0;0
41;41;10.jpg;1;3;0;1;0;0;0;0;0;0;0
42;42;38.jpg;1;3;0;1;0;0;0;0;0;0;0
43;43;21.jpg;1;3;0;1;0;0;0;0;0;0;0
44;44;35.jpg;1;3;0;1;0;0;0;0;0;0;0
45;45;34.jpg;1;3;0;1;0;0;0;0;0;0;0
46;46;20.jpg;1;3;0;1;0;0;0;0;0;0;0
47;47;36.jpg;1;3;0;1;0;0;0;0;0;0;0
48;48;22.JPG;1;3;0;1;0;0;0;0;0;0;0
49;49;23.JPG;1;3;0;1;0;0;0;0;0;0;0
50;50;37.JPG;1;3;0;1;0;0;0;0;0;0;0
51;51;33.jpg;1;3;0;1;0;0;0;0;0;0;0
52;52;27.jpg;1;3;0;1;0;0;0;0;0;0;0
53;53;26.jpg;1;3;0;1;0;0;0;0;0;0;0
54;54;32.jpg;1;3;0;1;0;0;0;0;0;0;0
55;55;18.jpg;1;3;0;1;0;0;0;0;0;0;0
56;56;24.jpg;1;3;0;1;0;0;0;0;0;0;0
57;57;30.jpg;1;3;0;1;0;0;0;0;0;0;0
58;58;31.jpg;1;3;0;1;0;0;0;0;0;0;0
59;59;25.jpg;1;3;0;1;0;0;0;0;0;0;0
60;60;19.jpg;1;3;0;1;0;0;0;0;0;0;0
61;61;42.jpg;1;3;0;1;0;0;0;0;0;0;0
62;62;4.jpg;1;3;0;1;0;0;0;0;0;0;0
63;63;56.jpg;1;3;0;1;0;0;0;0;0;0;0
64;64;81.jpg;1;3;0;1;0;0;0;0;0;0;0
65;65;95.jpg;1;3;0;1;0;0;0;0;0;0;0
66;66;94.jpg;1;3;0;1;0;0;0;0;0;0;0
67;67;80.jpg;1;3;0;1;0;0;0;0;0;0;0
68;68;5.jpg;1;3;0;1;0;0;0;0;0;0;0
69;69;57.jpg;1;3;0;1;0;0;0;0;0;0;0
70;70;43.JPG;1;3;0;1;0;0;0;0;0;0;0
71;71;55.jpg;1;3;0;1;0;0;0;0;0;0;0
72;72;7.jpg;1;3;0;1;0;0;0;0;0;0;0
73;73;41.jpg;1;3;0;1;0;0;0;0;0;0;0
74;74;69.jpg;1;3;0;1;0;0;0;0;0;0;0
75;75;96.jpg;1;3;0;1;0;0;0;0;0;0;0
76;76;82.jpg;1;3;0;1;0;0;0;0;0;0;0
77;77;83.jpg;1;3;0;1;0;0;0;0;0;0;0
78;78;97.jpg;1;3;0;1;0;0;0;0;0;0;0
79;79;68.jpg;1;3;0;1;0;0;0;0;0;0;0
80;80;40.JPG;1;3;0;1;0;0;0;0;0;0;0
81;81;54.jpg;1;3;0;1;0;0;0;0;0;0;0
82;82;6.jpg;1;3;0;1;0;0;0;0;0;0;0
83;83;78.jpg;1;3;0;1;0;0;0;0;0;0;0
84;84;2.jpg;1;3;0;1;0;0;0;0;0;0;0
85;85;50.jpg;3;3;2;0;0;0;0;0;0;0;0
86;86;44.JPG;1;0;1;0;0;0;1;0;0;0;0
87;87;93.jpg;1;3;1;0;0;0;0;1;0;1;0
88;88;87.jpg;1;3;1;0;0;0;0;0;1;0;0
89;89;86.jpg;1;3;1;0;0;0;0;0;1;0;0
90;90;92.jpg;3;4;1;0;0;0;0;1;0;1;0
91;91;45.jpg;1;3;1;0;0;0;0;0;0;0;0
92;92;3.jpg;2;3;1;0;0;0;0;0;0;0;0
93;93;51.jpg;2;0;0;0;0;0;0;0;0;0;0
94;94;79.jpg;1;4;1;0;0;0;0;0;0;0;0
95;95;47.jpg;1;3;1;0;0;0;0;0;0;0;0
96;96;53.jpg;1;0;2;0;1;0;0;0;0;0;0
97;97;1.jpg;1;4;1;0;0;0;0;0;0;0;0
98;98;84.jpg;1;3;1;0;0;0;0;0;1;0;0
99;99;90.jpg;2;0;0;0;0;0;0;1;0;1;0
100;100;91.jpg;1;2;2;0;0;0;0;1;0;1;0
101;101;85.jpg;1;3;1;0;0;0;0;0;1;0;0
102;102;52.jpg;1;3;1;0;1;0;0;0;0;0;0
103;103;46.jpg;1;4;1;0;0;0;0;0;0;0;0
